codigo_ies_padre,ies,ano,tasa,tipo,categoria,nivel_de_formacion,tasa_lag1,tasa_lag2,tasa_lag3,rolling_mean_3,rolling_std_3,tasa_predicha
2834.0,UNIVERSITARIA AGUSTINIANA- UNIAGUSTINIANA,2013,10.97,TDA,IES Padre Nivel Formacin,Universitario,6.56,5.36,7.8,33.4767,28.8893,8.807656
2836.0,CORPORACION UNIVERSITARIA EMPRESARIAL DE SALAMANCA,2013,24.79,TDA,IES Padre Nivel Formacin,TyT,36.84,44.02,22.65,35.8,28.7341,31.255714
2836.0,CORPORACION UNIVERSITARIA EMPRESARIAL DE SALAMANCA,2013,26.62,TDA,IES Padre Nivel Formacin,Universitario,13.36,10.66,14.67,18.92,15.8873,12.664864
2837.0,CORPORACION UNIVERSITARIA REPUBLICANA,2013,16.26,TDA,IES Padre Nivel Formacin,Universitario,15.68,23.1,15.33,21.96,12.9386,15.074903
2838.0,CORPORACION COLEGIATURA COLOMBIANA,2013,12.52,TDA,IES Padre Nivel Formacin,Universitario,12.36,10.84,8.41,13.8,1.7032,10.832816
2840.0,CORPORACION UNIVERSITARIA EMPRESARIAL ALEXANDER VON HUMBOLDT - CUE,2013,9.31,TDA,IES Padre Nivel Formacin,Universitario,15.26,6.71,6.63,14.4333,1.8078,11.808015
2842.0,CORPORACION UNIVERSITARIA REFORMADA - CUR -,2013,23.85,TDA,IES Padre Nivel Formacin,Universitario,39.78,13.33,18.99,22.4667,15.0637,22.590101
2847.0,CORPORACION UNIVERSIDAD DE INVESTIGACION Y DESARROLLO - UDI,2013,24.02,TDA,IES Padre Nivel Formacin,TyT,24.18,18.18,30.07,26.4067,12.4107,24.19544
2847.0,CORPORACION UNIVERSIDAD DE INVESTIGACION Y DESARROLLO - UDI,2013,12.97,TDA,IES Padre Nivel Formacin,Universitario,11.6,12.07,15.02,25.1867,14.1169,12.467406
2848.0,CORPORACION UNIVERSITARIA  UNITEC,2013,13.64,TDA,IES Padre Nivel Formacin,TyT,14.98,20.03,19.08,16.92,6.5105,16.867474
2848.0,CORPORACION UNIVERSITARIA  UNITEC,2013,11.42,TDA,IES Padre Nivel Formacin,Universitario,12.24,17.28,13.87,12.94,1.7954,12.406054
2849.0,CORPORACION UNIVERSITARIA AUTONOMA DEL CAUCA,2013,15.57,TDA,IES Padre Nivel Formacin,Universitario,10.96,7.55,12.62,12.7267,2.0537,9.581834
2850.0,CORPORACION UNIVERSITARIA ANTONIO JOSE DE SUCRE - CORPOSUCRE,2013,9.9,TDA,IES Padre Nivel Formacin,Universitario,12.85,12.85,7.17,12.0167,0.9646,11.371817
2901.0,ESCUELA DE INTELIGENCIA Y CONTRAINTELIGENCIA BRIGADIER GENERAL RICARDO CHARRY SOLANO,2013,0.0,TDA,IES Padre Nivel Formacin,Universitario,0.0,0.0,3.85,7.9367,6.938,7.1719933
2902.0,ESCUELA DE LOGISTICA,2013,7.73,TDA,IES Padre Nivel Formacin,Universitario,18.35,10.14,12.97,10.4,9.4171,14.573067
2903.0,ESCUELA DE COMUNICACIONES,2013,4.19,TDA,IES Padre Nivel Formacin,TyT,8.72,1.06,13.37,9.0233,9.1788,8.500304
2824.0,CORPORACION UNIVERSITARIA DE COLOMBIA IDEAS,2013,53.51,TDA,IES Padre Nivel Formacin,Universitario,41.3,26.0,63.39,22.79,16.7377,37.52415
2825.0,CORPORACION UNIVERSITARIA RAFAEL NUEZ,2013,11.93,TDA,IES Padre Nivel Formacin,TyT,18.71,16.67,23.49,22.91,16.6911,20.454466
2825.0,CORPORACION UNIVERSITARIA RAFAEL NUEZ,2013,10.45,TDA,IES Padre Nivel Formacin,Universitario,9.54,11.47,13.17,23.1833,16.3457,10.678683
2827.0,CORPORACION UNIVERSITARIA DEL META - UNIMETA,2013,14.46,TDA,IES Padre Nivel Formacin,TyT,21.67,24.32,100.0,16.64,6.3244,25.279646
2827.0,CORPORACION UNIVERSITARIA DEL META - UNIMETA,2013,10.73,TDA,IES Padre Nivel Formacin,Universitario,11.53,14.6,13.4,14.2467,6.5053,11.510358
2828.0,CORPORACION UNIVERSITARIA DEL HUILA-CORHUILA-,2013,10.44,TDA,IES Padre Nivel Formacin,Universitario,10.73,10.17,11.89,14.6433,6.0984,10.211544
2829.0,CORPORACION UNIVERSITARIA MINUTO DE DIOS -UNIMINUTO-,2013,19.47,TDA,IES Padre Nivel Formacin,TyT,20.44,20.65,27.38,14.2333,5.39,19.811382
2829.0,CORPORACION UNIVERSITARIA MINUTO DE DIOS -UNIMINUTO-,2013,14.01,TDA,IES Padre Nivel Formacin,Universitario,15.1,14.73,13.66,15.4233,4.8631,13.362326
2830.0,CORPORACION UNIVERSITARIA IBEROAMERICANA,2013,15.29,TDA,IES Padre Nivel Formacin,TyT,13.43,13.46,8.11,16.3233,3.6616,13.540031
2830.0,CORPORACION UNIVERSITARIA IBEROAMERICANA,2013,10.14,TDA,IES Padre Nivel Formacin,Universitario,7.77,7.22,6.76,12.1,3.8417,7.3555326
2831.0,CORPORACION UNIVERSITARIA DE CIENCIA Y DESARROLLO - UNICIENCIA,2013,13.27,TDA,IES Padre Nivel Formacin,Universitario,12.96,18.87,32.09,11.3867,3.1409,15.4821825
2832.0,UNIVERSIDAD DE SANTANDER - UDES,2013,20.34,TDA,IES Padre Nivel Formacin,TyT,18.89,18.02,18.51,13.2067,5.5641,17.991222
2832.0,UNIVERSIDAD DE SANTANDER - UDES,2013,12.26,TDA,IES Padre Nivel Formacin,Universitario,11.29,10.87,13.87,14.38,3.994,10.6170845
2833.0,CORPORACION UNIVERSITARIA REMINGTON,2013,20.87,TDA,IES Padre Nivel Formacin,TyT,22.22,6.02,15.79,17.4667,5.6023,17.285313
2833.0,CORPORACION UNIVERSITARIA REMINGTON,2013,16.42,TDA,IES Padre Nivel Formacin,Universitario,23.07,5.32,11.86,18.86,6.5696,15.720538
2748.0,FUNDACION UNIVERSITARIA SEMINARIO TEOLOGICO BAUTISTA INTERNACIONAL,2013,10.44,TDA,IES Padre Nivel Formacin,Universitario,17.46,12.78,14.17,17.13,6.1117,14.397825
